,Index,Price,Time Insulated,Capacity,Cleanability,Containment,Market Share,Margin,Expected Profit per Person
183,184,5,0.5,32,Fair,Slosh resistant,0.12895498392282959,-1.0,-0.12895498392282959
184,185,5,0.5,32,Fair,Spill resistant,0.24445337620578775,-1.2999999999999998,-0.317789389067524
185,186,5,0.5,32,Fair,Leak resistant,0.2881672025723473,-1.5,-0.43225080385852094
186,187,5,0.5,32,Easy,Slosh resistant,0.12930868167202572,-1.7999999999999998,-0.23275562700964628
187,188,5,0.5,32,Easy,Spill resistant,0.24617363344051443,-2.0999999999999996,-0.5169646302250802
188,189,5,0.5,32,Easy,Leak resistant,0.2911093247588425,-2.3,-0.6695514469453376
189,190,5,1.0,12,Difficult,Slosh resistant,0.05876205787781351,1.5,0.08814308681672026
190,191,5,1.0,12,Difficult,Spill resistant,0.12837620578778133,1.2000000000000002,0.15405144694533762
191,192,5,1.0,12,Difficult,Leak resistant,0.15078778135048232,1.0,0.15078778135048232
192,193,5,1.0,12,Fair,Slosh resistant,0.19385852090032157,0.2999999999999998,0.05815755627009644
193,194,5,1.0,12,Fair,Spill resistant,0.3958842443729903,0.0,0.0
194,195,5,1.0,12,Fair,Leak resistant,0.4579903536977492,-0.20000000000000018,-0.09159807073954992
195,196,5,1.0,12,Easy,Slosh resistant,0.1939710610932476,-0.5,-0.0969855305466238
196,197,5,1.0,12,Easy,Spill resistant,0.397491961414791,-0.7999999999999998,-0.31799356913183274
197,198,5,1.0,12,Easy,Leak resistant,0.45892282958199354,-1.0,-0.45892282958199354
198,199,5,1.0,20,Difficult,Slosh resistant,0.07892282958199358,-0.09999999999999964,-0.00789228295819933
199,200,5,1.0,20,Difficult,Spill resistant,0.16499999999999998,-0.39999999999999947,-0.0659999999999999
200,201,5,1.0,20,Difficult,Leak resistant,0.1891800643086817,-0.5999999999999996,-0.11350803858520896
201,202,5,1.0,20,Fair,Slosh resistant,0.22914790996784562,-1.3000000000000007,-0.2978922829581995
202,203,5,1.0,20,Fair,Spill resistant,0.48817792068595933,-1.6000000000000005,-0.7810846730975352
203,204,5,1.0,20,Fair,Leak resistant,0.5596570203644159,-1.8000000000000007,-1.007382636655949
204,205,5,1.0,20,Easy,Slosh resistant,0.22868167202572348,-2.0999999999999996,-0.48023151125401925
205,206,5,1.0,20,Easy,Spill resistant,0.49589496248660236,-2.3999999999999995,-1.1901479099678454
206,207,5,1.0,20,Easy,Leak resistant,0.5677759914255092,-2.5999999999999996,-1.4762175777063236
207,208,5,1.0,32,Difficult,Slosh resistant,0.06729903536977491,-0.2999999999999998,-0.02018971061093246
208,209,5,1.0,32,Difficult,Spill resistant,0.14389067524115756,-0.5999999999999996,-0.08633440514469448
209,210,5,1.0,32,Difficult,Leak resistant,0.1694694533762058,-0.7999999999999998,-0.13557556270096463
210,211,5,1.0,32,Fair,Slosh resistant,0.1934887459807074,-1.5,-0.2902331189710611
211,212,5,1.0,32,Fair,Spill resistant,0.38075562700964627,-1.7999999999999998,-0.6853601286173632
212,213,5,1.0,32,Fair,Leak resistant,0.4509485530546624,-2.0,-0.9018971061093248
213,214,5,1.0,32,Easy,Slosh resistant,0.19318327974276528,-2.3,-0.4443215434083601
